# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
pin_two_blocks    | expr | #x.(x = a) & #y.(y = b) => #x.#y.(x = a & y = b)
pin_eq_pair_deep  | expr | #w.#x.#y.#z.(w = x & x = y & y = z)

# X.k — mixed-domain crosses: arithmetic × sets × functions × quantifiers
mx_arith_mem      | expr | !x.(x: s => x <= 9) & a: s & 9 <= y => a <= y
mx_eq_arith       | expr | x = y & y <= z => x <= z
mx_arith_eq       | expr | x <= y & y = z => x <= z
mx_fn_arith       | expr | f(a) = x & x <= 3 => f(a) <= 3
mx_set_arith      | expr | !x.(x: s => 0 <= x) & !x.(x: t => x: s) & a: t => 0 <= a
mx_two_levels     | expr | !x.(x: s => f(x): t) & !y.(y: t => y: u) & a: s => f(a): u
mx_card_bound     | expr | card(s) = n & n <= 3 => card(s) <= 3
mx_card_eq        | expr | card(s) = card(t) & card(t) = m => card(s) = m
mx_dom_mem        | expr | a: dom(f) & dom(f) <: s => a: s
mx_maplet_sub     | expr | x, y: r & r <: q => x, y: q
mx_fn_bound       | expr | !x.(x: s => f(x) <= 7) & a: s => f(a) <= 7
mx_fn_bound_tr    | expr | !x.(x: s => f(x) <= 7) & a: s & 7 <= z => f(a) <= z
mx_quant_fn_eq    | expr | !x.(x: s => f(x) = g(x)) & a: s & g(a) = w => f(a) = w
mx_exists_bound   | expr | #x.(x: s & x <= 3) & !y.(y: s => 0 <= y) => #x.(x: s & x <= 3 & 0 <= x)
mx_interval_mem   | expr | !x.(x: s => 1 <= x & x <= 9) & a: s => 1 <= a
mx_neg_mem_arith  | expr | !x.(x <= 0 => not(x: s)) & a: s => not(a <= 0)
mx_fn_chain_leq   | expr | f(a) <= g(b) & g(b) <= h(c) => f(a) <= h(c)
mx_pair_arith     | expr | x, y: r & x <= 0 & 0 <= x => x = 0
mx_set_pin        | expr | #x.(x: s & x = a) => a: s
mx_wit_transport  | expr | a = b & a: s => #x.(x: s & x = b)
mx_two_wit_arith  | expr | a <= 0 & 0 <= b => #x.#y.(x <= 0 & 0 <= y)
mx_all_pairs      | expr | !x.!y.(x: s => y: t => x, y: r) & a: s & b: t => a, b: r
mx_fn_set_eq      | expr | s = t & f(a): s => f(a): t
mx_card_arith     | expr | card(s) <= 5 & 5 <= card(t) => card(s) <= card(t)
mx_three_dom      | expr | !x.(x: s => x: t) & a: s & f(a) = b & a <= c => a: t & f(a) = b & a <= c
mx_eq_chain_mem   | expr | a = b & b = c & c: s => a: s
mx_leq_eq_mix4    | expr | w <= x & x = y & y <= z => w <= z
mx_two_funs       | expr | f(a) = g(b) & g(b) = c => f(a) = c
mx_quant_pair     | expr | !x.(x: s => x, f(x): r) & a: s => a, f(a): r
mx_guard_or       | expr | !x.(x: s => x: t or x: u) & a: s & not(a: t) => a: u
mx_double_guard   | expr | !x.(x: s & x: t => x: u) & a: s & a: t => a: u
mx_wide_ante      | expr | !x.(x: s1 & x: s2 & x: s3 => x: s4) & a: s1 & a: s2 & a: s3 => a: s4

# X.l — reversed-equality goal shapes (OPR2 / NRM21/23 right-orientation)
rv_app_wit        | expr | c = f(a) => #x.(c = f(x))
rv_mem            | expr | b = a & a: s => b: s
rv_const_first    | expr | 5 = x => x = 5
rv_app_chain      | expr | w = f(x) & f(x) = z => w = z
rv_double_rev     | expr | b = a & c = b => a = c
rv_rev_subst      | expr | y = x => f(x) = f(y)
rv_rev_leq        | expr | y = x & x <= z => y <= z
rv_xst_rev_eq     | expr | #x.(a = x)
rv_all_rev        | expr | !x.(x = a => f(x) = f(a))
rv_rev_in_conj    | expr | a: s & b = a => b: s
rv_rev_neg        | expr | b = a & not(b: s) => not(a: s)

# X.m — existential width & structure: multi-witness blocks, swaps,
# projections, nesting (XST family breadth)
xw_four           | expr | e1: a & e2: b & e3: c & e4: d => #w.#x.#y.#z.(w: a & x: b & y: c & z: d)
xw_wit_mix        | expr | a: s & f(a) = b => #x.(x: s & f(x) = b)
xw_two_same       | expr | a: s => #x.#y.(x: s & y: s)
xw_eq3            | expr | #x.#y.#z.(x = y & y = z)
xw_swap           | expr | #x.#y.(x: s & y: t) => #y.#x.(x: s & y: t)
xw_proj_l         | expr | #x.#y.(x: s & y: t) => #x.(x: s)
xw_proj_r         | expr | #x.#y.(x: s & y: t) => #y.(y: t)
xw_or_wit_l       | expr | a: s => #x.(x: s or x: t)
xw_or_wit_r       | expr | a: t => #x.(x: s or x: t)
xw_nested_dep     | expr | a: s & b: t => #x.(x: s & #y.(y: t))
xw_deep_pair      | expr | a: s & b: t => #x.(#y.(x: s & y: t))
xw_from_all       | expr | !x.(x: s => x: t) & a: s => #y.(y: t)
xw_two_from_one   | expr | a: s & a: t => #x.(x: s & x: t)
xw_leq_wit        | expr | a <= 0 => #x.(x <= 0)
xw_arith_pair     | expr | a <= b => #x.#y.(x <= y)
xw_app_two        | expr | f(a) = b & g(b) = c => #x.#y.(f(x) = y & g(y) = c)
xw_triple_chain   | expr | a: s & f(a): t & g(f(a)): u => #x.(x: s & f(x): t & g(f(x)): u)
xw_wit_const      | expr | 0 <= 1 => #x.#y.(x <= y)
xw_set_wit        | expr | a: s /\ t => #x.(x: s & x: t)
xw_union_wit      | expr | a: s => #x.(x: s \/ t)
xw_pair_wit       | expr | a, b: r => #x.(a, x: r)
xw_pair_wit2      | expr | a, b: r => #x.#y.(x, y: r)
xw_dom_wit        | expr | a: dom(f) => #x.(x: dom(f))
xw_neg_wit        | expr | not(a: s) => #x.(not(x: s))
xw_eq_neq_pair    | expr | not(a = b) => #x.#y.(not(x = y))

# X.n — relations / maplets breadth (pair-membership shapes)
rl_pair_refl      | expr | x, y: r => x, y: r
rl_pair_two       | expr | x, y: r & y, z: q => x, y: r & y, z: q
rl_pair_eq_l      | expr | x = a & x, y: r => a, y: r
rl_pair_eq_r      | expr | y = b & x, y: r => x, b: r
rl_pair_eq_both   | expr | x = a & y = b & x, y: r => a, b: r
rl_pair_sub_chain | expr | x, y: r & r <: q & q <: p1 => x, y: p1
rl_pair_or        | expr | x, y: r or x, y: q => x, y: r or x, y: q
rl_dom_two        | expr | a: dom(f) & b: dom(f) => b: dom(f) & a: dom(f)
rl_ran_mem        | expr | y: ran(f) & ran(f) <: t => y: t
rl_app_pair       | expr | x: dom(f) & f(x) = y => f(x) = y & x: dom(f)
rl_pair_swap_mem  | expr | x, y: r & y, x: r => y, x: r
rl_pair_all       | expr | !x.!y.(x, y: r => y, x: q) & a, b: r => b, a: q
rl_pair_exists    | expr | a, b: r => #x.#y.(x, y: r)
rl_pair_deep      | expr | x, f(x): r & f(x) = y => x, y: r

# ════════════════════════════════════════════════════════════════════════
# Y. Reliable-family breadth (second wave): systematic variants in families
#    with zero historical drop rate — propositional shapes, equality
#    congruence, set membership, function congruence, linear arithmetic.
#    Volume here both regression-protects the emitter's hot paths and
#    pushes the suite past 1000 checked proofs.
# ════════════════════════════════════════════════════════════════════════

v2_imp_swap2      | prop | (a => (b => c)) <=> (b => (a => c))
v2_imp_weaken     | prop | b => (a => b)
v2_imp_dup        | prop | (a => a => b) => (a => b)
v2_imp_exp        | prop | ((a & b) => c) => (a => (b => c))
v2_imp_join       | prop | (a => b) & (a => c) => (a => b & c)
v2_imp_split      | prop | (a => b & c) => (a => b) & (a => c)
v2_imp_or_intro   | prop | (a => b) => (a => b or c)
v2_imp_const      | prop | b => (a => b) & (not(a) => b)
v2_or_idem3       | prop | a or a or a <=> a
v2_and_idem3      | prop | ((a & a) & a) <=> a
v2_or_absorb2     | prop | ((a or b) & a) <=> a
v2_and_absorb2    | prop | (a & b) or a <=> a
v2_neg_or_l       | prop | not(a) & (a or b) => b
v2_neg_or_r       | prop | not(b) & (a or b) => a
v2_dneg_eqv       | prop | not(not(a)) <=> a
v2_contra_neg     | prop | (a => not(a)) => not(a)
v2_consequentia   | prop | (not(a) => a) => a
v2_or_imp_l       | prop | (a or b => c) => (a => c)
v2_or_imp_r       | prop | (a or b => c) => (b => c)
v2_and_imp_use    | prop | (a => c) => (a & b => c)
v2_resolution     | prop | (a or b) & (not(a) or c) => b or c
v2_cut_rule       | prop | (a => b) & (b => c) & a => c
v2_dilemma        | prop | (a => c) & (b => d) & (a or b) => c or d
v2_neg_dilemma    | prop | (a => b) & (a => not(b)) => not(a)
v2_eqv_neg_l      | prop | (not(a) <=> b) => (a <=> not(b))
v2_eqv_subst_or   | prop | (a <=> b) => (a or c <=> b or c)
v2_eqv_subst_imp  | prop | (a <=> b) => ((a => c) <=> (b => c))
v2_eqv_swap_args  | prop | (a <=> b) & (c <=> d) => ((a => c) <=> (b => d))
v2_iff_or_and     | prop | (a <=> b) => ((a or b) <=> (a & b))
v2_xor_shape      | prop | (a or b) & not(a & b) & a => not(b)
v2_three_cases    | prop | (a or b or c) & (a => d) & (b => d) & (c => d) => d
v2_nested_or_and  | prop | ((a & b) or (a & c)) => a
v2_factor_left    | prop | ((a & b) or (a & c)) <=> (a & (b or c))
v2_factor_or      | prop | ((a or b) & (a or c)) <=> (a or (b & c))
v2_imp_chain_skip | prop | (a => b) & (b => c) & (c => d) & a => c
v2_mp_under_and   | prop | a & b & (b => c) => a & c
v2_mt_chain       | prop | (a => b) & (b => c) & not(c) => not(a)
v2_neg_imp_l      | prop | not(a => b) => a
v2_neg_imp_r      | prop | not(a => b) => not(b)
v2_imp_total      | prop | (a => b) or (b => a)
v2_peirce_neg     | prop | ((a => not(a)) => a) => a
v2_weak_peirce    | prop | ((a => b) => a) & (a => b) => b
v2_eq_app3        | expr | x = y => f(f(f(x))) = f(f(f(y)))
v2_eq_app4        | expr | x = y => f(f(f(f(x)))) = f(f(f(f(y))))
v2_eq_mixed_args  | expr | x = y & z = w => g(x, z) = g(y, w)
v2_eq_const_arg   | expr | x = y => g(x, c) = g(y, c)
v2_eq_three_app   | expr | x = y & y = z => g(x, z) = g(y, y)
v2_eq_sym_chain   | expr | b = a & b = c & d = c => a = d
v2_eq_app_left    | expr | f(x) = c & x = y => f(y) = c
v2_eq_two_chains  | expr | a = b & b = c & w = v & v = u => a = c & w = u
v2_eq_cross       | expr | a = b & f(b) = g(a) => f(a) = g(b)
v2_eq_app_swap    | expr | g(x, y) = c & x = y => g(y, x) = c
v2_mem_pair_neq   | expr | x: {a, b} & not(x = b) => x = a
v2_mem_triple_mid | expr | x: {a, b, c} & not(x = a) & not(x = c) => x = b
v2_mem_singleton  | expr | x: {a} => x = a
v2_singleton_in   | expr | x = a => x: {a}
v2_enum_subset    | expr | x: {a, b} => x: {a, b, c}
v2_inter_comm     | expr | x: s /\ t => x: t /\ s
v2_union_comm     | expr | x: s \/ t => x: t \/ s
v2_inter_lower_l  | expr | x: s /\ t => x: s
v2_inter_lower_r  | expr | x: s /\ t => x: t
v2_union_glue     | expr | x: s or x: t => x: s \/ t
v2_union_split    | expr | x: s \/ t => x: s or x: t
v2_inter_glue     | expr | x: s & x: t => x: s /\ t
v2_mem_union_mid  | expr | x: t => x: s \/ t \/ u
v2_diff_shape     | expr | x: s & not(x: t) => x: s & not(x: t)
v2_subset_inter   | expr | s <: t & x: s /\ u => x: t
v2_subset_two     | expr | s <: t & t <: u & x: s => x: u
v2_subset_mem_eq  | expr | s <: t & x: s & x = y => y: t
v2_leq_chain5     | expr | v <= w & w <= x & x <= y & y <= z => v <= z
v2_leq_chain6     | expr | u <= v & v <= w & w <= x & x <= y & y <= z => u <= z
v2_leq_plus_l     | expr | x <= y => z + x <= z + y
v2_leq_plus_r     | expr | x <= y => x + z <= y + z
v2_leq_both_add   | expr | x <= y & w <= z => x + w <= y + z
v2_leq_neg_flip   | expr | x <= y => -y <= -x
v2_leq_sub_intro  | expr | x <= y => x - y <= 0
v2_leq_sub_elim   | expr | x - y <= 0 => x <= y
v2_zero_le_sq     | expr | x <= 0 => x + x <= x
v2_leq_zero_mix   | expr | x <= 0 & y <= 0 => x + y <= x
v2_lit_ladder     | expr | x <= 1 => x <= 2
v2_lit_ladder2    | expr | x <= 2 => x <= 4
v2_lit_off_one    | expr | x + 1 <= y => x <= y
v2_lit_off_two    | expr | x + 2 <= y => x <= y
v2_neg_lit        | expr | x <= -1 => x + 1 <= 0
v2_sub_shift      | expr | x - 1 <= y => x <= y + 1
v2_add_shift      | expr | x + 1 <= y => x <= y - 1
v2_two_sided_lit  | expr | 0 <= x & x <= 2 => 0 <= x + x & x + x <= 4
v2_abs_pattern    | expr | x <= y & -x <= y => x + x <= y + y
v2_arith_eq_l     | expr | x = y + 1 => y <= x
v2_arith_eq_r     | expr | x = y - 1 => x <= y
v2_eq_to_leq      | expr | x = y => x <= y & y <= x
v2_half_antisym   | expr | x <= y & not(x = y) => x < y
v2_strict_neq     | expr | x < y => not(x = y)
v2_strict_asym    | expr | x < y => not(y < x)

# Y.2 — more breadth in zero-drop families (prop matrices, OPR rewrite
# chains, AXM hyp-search shapes, INS-driving universal+witness combos)
v3_k_axiom        | prop | a => (b => a)
v3_s_axiom        | prop | (a => (b => c)) => ((a => b) => (a => c))
v3_b_axiom        | prop | (b => c) => ((a => b) => (a => c))
v3_c_axiom        | prop | (a => (b => c)) => (b => (a => c))
v3_w_axiom        | prop | (a => a => b) => (a => b)
v3_imp_or3        | prop | a => a or b or c
v3_or3_mid        | prop | b => a or b or c
v3_and3_swap      | prop | a & b & c => c & b & a
v3_and4_rot       | prop | a & b & c & d => b & c & d & a
v3_or4_rot        | prop | a or b or c or d => b or c or d or a
v3_demorgan_mix   | prop | not(a & not(b)) => (a => b)
v3_demorgan_back  | prop | (a => b) => not(a & not(b))
v3_nand_shape     | prop | not(a & b) & a => not(b)
v3_nor_shape      | prop | not(a or b) => not(a)
v3_nor_shape_r    | prop | not(a or b) => not(b)
v3_imp_neg_mix    | prop | (not(a) => b) & not(b) => a
v3_or_to_imp2     | prop | a or b => (not(b) => a)
v3_chain_branch   | prop | (a => b) & (a => c) & (b & c => d) & a => d
v3_double_mp      | prop | a & b & (a => c) & (b => d) => c & d
v3_triple_mp      | prop | a & (a => b) & (b => c) & (c => d) & (d => e) => e
v3_eqv_refl       | prop | a <=> a
v3_eqv_true_unit  | prop | a => (a <=> (a or a))
v3_eqv_and_self   | prop | a <=> (a & a)
v3_eqv_or_self    | prop | a <=> a or a
v3_eqv_chain_neg  | prop | (a <=> b) & (b <=> c) => (not(a) <=> not(c))
v3_imp_eqv_mix    | prop | (a <=> b) & (b => c) & a => c
v3_eqv_both_neg   | prop | (not(a) <=> not(b)) => (a <=> b)
v3_opr_two        | expr | x = a & y = b & x: s & y: t => x: s & y: t
v3_opr_chain3     | expr | x = a & a: s => x: s
v3_opr_rev_use    | expr | a = x & a: s => x: s
v3_opr_double     | expr | x = a & y = x & y: s => a: s
v3_opr_app        | expr | x = f(a) & x: s => f(a): s
v3_opr_leq        | expr | x = a & x <= y => a <= y
v3_opr_leq_rhs    | expr | y = b & x <= y => x <= b
v3_opr_both_sides | expr | x = a & y = b & x <= y => a <= b
v3_axm_deep_hyp   | expr | a: s & b: t & c: u & d: v => c: u
v3_axm_neg_hyp    | expr | not(a: s) & b: t => not(a: s)
v3_axm_mixed      | expr | a: s & not(b: t) & c = d => not(b: t) & c = d
v3_ins_classic    | expr | !x.(x: s => x: t) & a: s & not(a: t) => bfalse
v3_ins_two_step   | expr | !x.(x: s => x: t) & !x.(x: t => x: u) & a: s & not(a: u) => bfalse
v3_ins_neg_univ   | expr | !x.(not(x: s)) & a: s => bfalse
v3_ins_arith      | expr | !x.(x: s => x <= 0) & a: s & not(a <= 0) => bfalse
v3_ins_eq_univ    | expr | !x.(x: s => x = c) & a: s & not(a = c) => bfalse
v3_ins_pair       | expr | !x.!y.(x: s => y: t => x, y: r) & a: s & b: t & not(a, b: r) => bfalse
v3_two_inst       | expr | !x.(x: s => x: t) & a: s & b: s => a: t & b: t
v3_three_inst     | expr | !x.(x: s => x: t) & a: s & b: s & c: s => a: t & b: t & c: t
v3_inst_app       | expr | !x.(x: s => f(x): t) & a: s & b: s => f(a): t & f(b): t
v3_inst_arith2    | expr | !x.(x: s => 0 <= x) & a: s & b: s => 0 <= a & 0 <= b
v3_mixed_inst     | expr | !x.(x: s => x: t) & !y.(y: u => y: v) & a: s & b: u => a: t & b: v
v3_eq_set_chain   | expr | s = t & t = u & x: s => x: u
v3_eq_set_rev     | expr | t = s & x: s => x: t
v3_eq_fn_sets     | expr | s = t & f(a): s & f(b): t => f(a): t & f(b): s
v3_subset_refl_use| expr | s <: s & x: s => x: s
v3_subset_inter_r | expr | s <: t & x: u /\ s => x: t
v3_union_to_super | expr | s <: u & t <: u & x: s \/ t => x: u
v3_inter_to_sub   | expr | x: s /\ t & s /\ t <: u => x: u
v3_pow_mem        | expr | s: POW(t) & s: POW(t) => s: POW(t)
v3_card_two       | expr | card(s) = 2 & card(t) = card(s) => card(t) = 2
v3_leq_zero_chain | expr | x <= 0 & y <= x & z <= y => z <= 0
v3_leq_interleave | expr | a <= b & c <= d & b <= c => a <= d
v3_leq_diamond    | expr | x <= y & x <= z & y <= w & z <= w => x <= w
v3_plus_comm_use  | expr | x + y <= z => y + x <= z
v3_plus_assoc_use | expr | (x + y) + z <= w => x + (y + z) <= w
v3_plus_rot3      | expr | x + y + z <= w => z + x + y <= w
v3_minus_chain    | expr | x - y <= z & z <= w => x - y <= w
v3_neg_neg_use    | expr | -(-x) <= y => x <= y
v3_neg_through    | expr | -x <= y => -y <= x
v3_zero_plus      | expr | 0 + x <= y => x <= y
v3_plus_zero_r    | expr | x + 0 <= y => x <= y
v3_lit_two_three  | expr | x <= 2 => x <= 3
v3_lit_jump       | expr | x <= 5 => x <= 9
v3_lit_neg_chain  | expr | x <= -2 => x <= -1
v3_succ_chain2    | expr | x + 1 <= y & y + 1 <= z => x + 2 <= z
v3_succ_collapse  | expr | x + 1 <= y & y <= x + 1 => y = x + 1
v3_between_unique | expr | x <= y & y <= x + 1 & not(y = x) => y = x + 1
v3_three_bounds   | expr | x <= 3 & y <= 2 & z <= 1 => x + y + z <= 6
v3_bound_shift    | expr | x + y <= 5 & 0 <= y => x <= 5
v3_two_lower      | expr | 0 <= x & 0 <= y => 0 <= x + y
v3_lower_chain    | expr | 0 <= x & x <= y => 0 <= y
v3_squeeze_three  | expr | x <= y & y <= z & z <= x => x = z
v3_eq_by_squeeze  | expr | x <= y & y <= z & z <= x => y = z
v3_xst_lit        | expr | #x.(x <= 0)
v3_xst_refl_eq    | expr | #x.(x = x & x <= x)
v3_all_total_self | expr | !x.(x <= x & x = x)
v3_fn_eq_chain4   | expr | f(a) = b & g(b) = c & h(c) = d => h(g(f(a))) = d
v3_fn_two_args_eq | expr | g(a, b) = c & a = x & b = y => g(x, y) = c
v3_fn_nested_mix  | expr | f(g(a)) = b & g(a) = c => f(c) = b
v3_fn_apply_all   | expr | !x.(f(x) = g(x)) => f(a) = g(a)
v3_fn_apply_two   | expr | !x.(f(x) = g(x)) => f(a) = g(a) & f(b) = g(b)
v3_pair_in_two    | expr | x, y: r /\ q => x, y: r
v3_pair_union     | expr | x, y: r => x, y: r \/ q
v3_dom_subset     | expr | dom(f) <: s & a: dom(f) => a: s
v3_ran_subset     | expr | ran(f) <: t & y: ran(f) => y: t
v3_three_sets_eq  | expr | s = t & u = v & x: s & y: u => x: t & y: v
v3_pin_wit_use    | expr | #x.(x = a & x: s) => a: s
v3_pin_wit_rev    | expr | #x.(a = x & x: s) => a: s
v3_pin_wit_leq    | expr | #x.(x = a & x <= y) => a <= y
v3_pin_app_use    | expr | #x.(x = f(a) & x: s) => f(a): s
v3_xst_two_pins   | expr | #x.#y.(x = a & y = b & x: s & y: t) => a: s & b: t
v3_neg_xst_inst   | expr | not(#x.(x: s & x: t)) & a: s => not(a: t)
v3_neg_all_wit    | expr | not(!x.(x: s)) & (not(#x.(not(x: s))) => bfalse) => not(!x.(x: s))
v3_or_quant_mix   | expr | !x.(x: s => x: t) or !x.(x: s => x: u) => !x.(x: s => x: t or x: u)
v3_and_quant_mix  | expr | !x.(x: s => x: t) & !x.(x: u => x: v) & a: s & a: u => a: t & a: v
v3_quant_neg_body | expr | !x.(x: s => not(x: t)) & a: t => not(a: s)
v3_quant_contrapos| expr | !x.(x: s => x: t) & not(a: t) => not(a: s)
v3_imp5_shape     | expr | a: s & (a: s => b: t) & (b: t => c: u) => c: u
v3_deep_or_inst   | expr | !x.(x: s => x: t or x: u) & a: s & not(a: u) => a: t
v3_wide_or_inst   | expr | !x.(x: s => x: t1 or x: t2 or x: t3) & a: s & not(a: t1) & not(a: t2) => a: t3
v3_exists_or_inst | expr | #x.(x: s & (x: t or x: u)) => #x.(x: s & x: t) or #x.(x: s & x: u)
v3_all8_depth2    | expr | !x.(x: s => !y.(y: t => x, y: r)) & a: s & b: t => a, b: r
v3_two_layer_wit  | expr | a: s & b: t => #x.(x: s & #y.(y: t & x: s))
v3_eqv_arith      | expr | (x <= y <=> y <= x) & x <= y => y <= x
v3_eq_under_all   | expr | !x.(x: s => x = c) & a: s & b: s => a = b

# ════════════════════════════════════════════════════════════════════════
# Z. BARE-KIND PROBES (added 2026-06-10, third wave).  `bprop`/`bexpr` drop
#    the goal-as-hypothesis self-promotion, so PP must genuinely PROVE the
#    formula — the special rule families the harness could never reach
#    (BOOL11-52, EAXM*, EQC, EIMP5*, EVR11, ECTR5/6, AR5/6/7/13, VR2, FX2,
#    EQV2, XST2/61, NRM16-18) get their first real shot at firing.  PP may
#    fail outright on some (no hypothesis to lean on) — gen drops those.
# ════════════════════════════════════════════════════════════════════════

# Z.a — bool(P) under a real proof obligation (→ BOOL11-52)

# Z.b — equality-special rules bare (→ EAXM*, EQC1/2, EIMP51/52, EVR11, ECTR5/6)
ze_comm           | expr | y = x => x = y
ze_comm_neg       | expr | not(x = y) => not(y = x)
ze_comm_mem       | expr | y = x & y: s => x: s
ze_refl           | expr | x = x
ze_refl_or        | expr | x = x or x: s
ze_neg_refl       | expr | not(x = x) => x: s
ze_imp_comm       | expr | (x = y => a: s) & y = x => a: s
ze_imp_comm2      | expr | (y = x => a: s) & x = y => a: s
ze_trans          | expr | x = y & y = z => x = z
ze_subst          | expr | x = y & x: s => y: s
ze_subst_neg      | expr | x = y & not(y: s) => not(x: s)
ze_ectr_pos       | expr | x = y & x: s & not(y: s) => bfalse
ze_ectr_arith     | expr | x = y & x <= z & not(y <= z) => bfalse
ze_fun_cong       | expr | x = y => f(x) = f(y)
ze_app_eq         | expr | f(x) = y & y = z => f(x) = z

# Z.c — propositional tautologies bare (→ VR2, FX2, EQV1/2; the NOT/IMP/EQV
# machinery under genuine proving instead of hypothesis matching)
zp_em             | prop | a or not(a)
zp_noncontra      | prop | not(a & not(a))
zp_dneg           | prop | not(not(a)) => a
zp_dneg_intro     | prop | a => not(not(a))
zp_imp_self       | prop | a => a
zp_peirce         | prop | ((a => b) => a) => a
zp_demorgan       | prop | not(a & b) <=> not(a) or not(b)
zp_neg_eqv        | prop | not(a <=> not(a))
zp_neg_eqv_use    | prop | not(a <=> b) & a => not(b)
zp_neg_eqv_use2   | prop | not(a <=> b) & not(a) => b
zp_contrapos      | prop | (a => b) => (not(b) => not(a))
zp_or_comm        | prop | a or b => b or a
zp_and_comm       | prop | a & b => b & a
zp_iff_refl       | prop | a <=> a
zp_absurd         | prop | a & not(a) => b
zp_taut_or        | prop | (a => a) or b
zp_imp_or         | prop | (a => b) => not(a) or b
zp_or_imp         | prop | not(a) or b => (a => b)
zp_mt             | prop | (a => b) & not(b) => not(a)
zp_mp             | prop | a & (a => b) => b

# Z.d — quantifier & arithmetic bare (→ NRM16-18, ALL2, XST2/61, AR5/6/7/13)
zq_all_inst       | expr | !x.(x: s => x: t) & a: s => a: t
zq_all_refl       | expr | !x.(x = x)
zq_all_leq        | expr | !x.(x <= x)
zq_xst_wit        | expr | a: s => #x.(x: s)
zq_xst_eq         | expr | #x.(x = a)
zq_xst_eq_rev     | expr | #x.(a = x)
zq_swap2          | expr | !x.(!y.((x: s => (y: t => x: s))))
zq_all_and_split  | expr | !x.(x: s & x: t) => !x.(x: s)
zq_neg_xst        | expr | !x.(not(x: s)) => not(#x.(x: s))
zq_vac            | expr | !x.(a: s) => a: s
za_lit            | expr | 1 <= 2
za_lit_neg        | expr | -1 <= 0
za_lit_zero       | expr | 0 <= 0
za_relax          | expr | x <= -1 => x <= 0
za_neg_bound      | expr | -2 <= x => -3 <= x
za_antisym        | expr | x <= y & y <= x => x = y
za_squeeze        | expr | 2 <= x & x <= 2 => x = 2
za_strict         | expr | x < y => x <= y
za_interval       | expr | 1 <= x & x <= 3 => 0 <= x & x <= 4
za_plus_mono      | expr | x <= y => x + 1 <= y + 1
za_zero_sum       | expr | x <= 0 & 0 <= x => x + x <= 0
za_farkas         | expr | x <= 0 => x + x <= 0

# Z post-run findings (third wave; suite 1114✓/0✗ after fixes):
# - EGALITE now fires from GENERATED replays (za_zero_sum, ze_comm_neg,
#   ze_ectr_arith, ze_imp_comm{,2}) — the emit path previously validated
#   only against a hand-completed replay is now corpus-covered.  za_zero_sum
#   additionally needed a literal-fold bridge in the equality-store evidence
#   (rewritten antecedent `1<=0` vs in-scope `1-(x+x)<=0` under x:=0).
# - EAXM31/EAXM32 are goal-closing LEAVES (hyp = the goal's equality
#   commuted); rule_db had them as 1-child passthroughs (ze_comm_neg ended
#   its replay at [EAXM32]).  EAXM1, AR5, EQV2 also fire for the first time.
# - All 13 zb_ bool() goals FAIL AT PP itself when bare — PP cannot prove
#   bool(P)-round-trips without a hypothesis to match, so BOOL11-52 remain
#   unreachable end-to-end (now established as a PP limitation, not a
#   harness artifact).  zq_swap2 likewise unprovable bare.
# - Rule coverage after the wave: 103/138 rule_db names fire; the remaining
#   unfired set is BOOL*, half the EAXM/EQC/EIMP5/ECTR5-6 family, NRM16-18,
#   NRM27/28/30, ALL2, AR6/7/13, VR2, FX2, XST2/61.

# Z.e — fourth wave: shapes aimed at the still-unfired rules (EAXM2/91/92,
# EQC1/2, EIMP51/52, ECTR5/6, EVR11, VR2, ALL2, XST2/61, AR6/7/13,
# NRM16-18, NRM27/28/30).  All bare; PP-unprovable ones get dropped.
z4_eaxm2          | expr | y = x => (not(x = y) => a: s)
z4_eaxm2_use      | expr | y = x & (not(x = y) or a: s) => a: s
